",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"2019-11-23,Sat,Bundesliga,Matchweek 12,Away,W 2Ð0,Wolfsburg,Eint Frankfurt,Y,FW,90,1,0,0,0,3,2,0,0,34,24,0,0,0,0.2,0.2,0.0,1,0,9,20,45.0,3,12,0,0,0,Match Report"
"2019-11-28,Thu,Europa Lg,Group stage,Away,W 1Ð0,de Wolfsburg,ua FC Oleksandriya,Y,FW,90,1,0,1,1,3,1,0,0,38,20,0,0,2,0.9,0.1,0.2,4,1,14,27,51.9,2,26,5,0,0,Match Report"
"2019-12-01,Sun,Bundesliga,Matchweek 13,Home,L 2Ð3,Wolfsburg,Werder Bremen,Y,FW,90,1,0,0,0,2,2,0,0,43,13,0,0,2,0.6,0.6,0.3,3,0,22,33,66.7,4,25,5,1,3,Match Report"
"2019-12-07,Sat,Bundesliga,Matchweek 14,Away,L 0Ð1,Wolfsburg,Freiburg,Y,FW,90,0,0,0,0,3,0,0,0,30,27,0,0,4,0.5,0.5,0.0,1,0,11,16,68.8,1,8,0,0,0,Match Report"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"2019-12-15,Sun,Bundesliga,Matchweek 15,Home,W 2Ð1,Wolfsburg,M'Gladbach,Y,FW,90,0,0,0,0,2,0,0,0,31,36,0,0,2,0.1,0.1,0.1,3,0,14,21,66.7,1,15,0,0,1,Match Report"
"2019-12-18,Wed,Bundesliga,Matchweek 16,Home,D 1Ð1,Wolfsburg,Schalke 04,Y,FW,90,0,0,0,0,2,0,0,0,49,31,0,0,0,0.2,0.2,0.1,6,0,20,33,60.6,2,28,1,2,4,Match Report"
"2019-12-21,Sat,Bundesliga,Matchweek 17,Away,L 0Ð2,Wolfsburg,Bayern Munich,N,FW,14,0,0,0,0,1,0,0,0,10,4,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,1,0,0,0,Match Report"
"2020-01-18,Sat,Bundesliga,Matchweek 18,Away,L 1Ð3,Wolfsburg,Kšln,Y,FW,90,0,0,0,0,2,1,1,0,29,12,1,0,0,0.5,0.5,0.0,2,0,17,22,77.3,3,10,2,0,0,Match Report"
"2020-01-25,Sat,Bundesliga,Matchweek 19,Home,L 1Ð2,Wolfsburg,Hertha BSC,Y,FW,90,0,0,0,0,1,1,0,0,34,35,1,0,1,0.1,0.1,0.1,3,0,20,25,80.0,1,14,2,0,0,Match Report"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"2020-02-08,Sat,Bundesliga,Matchweek 21,Home,D 1Ð1,Wolfsburg,DŸsseldorf,N,FW,45,0,0,0,0,1,0,0,0,18,14,0,0,1,0.1,0.1,0.0,1,0,13,16,81.3,4,13,1,0,0,Match Report"
"2020-02-15,Sat,Bundesliga,Matchweek 22,Away,W 3Ð2,Wolfsburg,Hoffenheim,Y,FW,89,3,0,2,2,6,4,1,0,43,32,1,0,2,2.3,0.8,0.1,3,1,18,29,62.1,2,24,3,1,2,Match Report"
"2020-02-20,Thu,Europa Lg,Round of 32,Home,W 2Ð1,de Wolfsburg,se Malmš,Y,FW,90,0,0,0,0,2,0,0,0,24,20,2,0,0,0.2,0.2,0.0,1,0,11,18,61.1,1,11,2,0,0,Match Report"
"2020-02-23,Sun,Bundesliga,Matchweek 23,Home,W 4Ð0,Wolfsburg,Mainz 05,Y,FW,90,0,1,0,0,3,0,0,0,42,15,1,1,1,0.3,0.3,0.2,4,1,20,29,69.0,2,27,2,1,2,Match Report"
"2020-02-27,Thu,Europa Lg,Round of 32,Away,W 3Ð0,de Wolfsburg,se Malmš,Y,FW,69,0,1,0,0,1,0,0,0,24,22,1,0,0,0.0,0.0,0.1,4,1,14,19,73.7,2,14,3,1,1,Match Report"
"2020-03-01,Sun,Bundesliga,Matchweek 24,Away,D 2Ð2,Wolfsburg,Union Berlin,Y,FW,90,1,0,0,0,4,3,0,0,44,21,0,0,0,0.4,0.4,0.0,2,0,19,33,57.6,3,25,3,0,0,Match Report"
"2020-03-07,Sat,Bundesliga,Matchweek 25,Home,D 0Ð0,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,2,0,1,0,56,36,2,0,0,0.1,0.1,0.0,3,0,22,35,62.9,0,30,3,1,2,Match Report"
"2020-03-12,Thu,Europa Lg,Round of 16,Home,L 1Ð2,de Wolfsburg,ua Shakhtar,Y,FW,90,0,0,0,1,2,1,1,0,27,27,1,0,0,1.1,0.3,0.0,1,0,16,22,72.7,3,12,2,1,1,Match Report"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"2020-05-23,Sat,Bundesliga,Matchweek 27,Home,L 0Ð2,Wolfsburg,Dortmund,Y,FWAM,90,0,0,0,0,1,0,0,0,39,16,0,0,2,0.0,0.0,0.3,1,0,19,25,76.0,3,21,1,1,3,Match Report"
"2020-05-26,Tue,Bundesliga,Matchweek 28,Away,W 4Ð1,Wolfsburg,Leverkusen,Y,FW,90,0,0,0,0,1,0,0,0,28,15,0,0,1,0.2,0.2,0.1,3,1,13,21,61.9,2,18,1,0,1,Match Report"
"2020-05-30,Sat,Bundesliga,Matchweek 29,Home,L 1Ð2,Wolfsburg,Eint Frankfurt,Y,FW,74,0,0,0,0,4,2,0,0,34,11,1,0,0,0.6,0.6,0.0,2,0,10,24,41.7,2,14,0,0,0,Match Report"
"2020-06-07,Sun,Bundesliga,Matchweek 30,Away,W 1Ð0,Wolfsburg,Werder Bremen,Y,FW,90,1,0,0,0,5,2,0,0,39,19,0,0,0,1.0,1.0,0.0,2,0,21,29,72.4,1,24,5,3,4,Match Report"
"2020-06-13,Sat,Bundesliga,Matchweek 31,Home,D 2Ð2,Wolfsburg,Freiburg,Y,FW,90,2,0,1,1,3,2,0,0,40,23,0,0,0,1.4,0.6,0.0,6,1,18,28,64.3,0,26,3,2,3,Match Report"
"2020-06-16,Tue,Bundesliga,Matchweek 32,Away,L 0Ð3,Wolfsburg,M'Gladbach,Y,FW,90,0,0,0,0,0,0,1,0,20,32,0,0,0,0.0,0.0,0.1,2,0,10,15,66.7,0,15,0,1,1,Match Report"
"2020-06-20,Sat,Bundesliga,Matchweek 33,Away,W 4Ð1,Wolfsburg,Schalke 04,Y,FW,90,2,0,0,0,2,2,0,0,48,20,0,0,1,0.9,0.9,0.0,0,0,18,30,60.0,2,28,5,0,2,Match Report"
"2020-06-27,Sat,Bundesliga,Matchweek 34,Home,L 0Ð4,Wolfsburg,Bayern Munich,Y,FW,90,0,0,0,0,2,1,1,0,33,16,1,0,1,0.2,0.2,0.0,1,0,10,22,45.5,2,17,4,1,1,Match Report"
"2020-08-05,Wed,Europa Lg,Round of 16,Away,L 0Ð3,de Wolfsburg,ua Shakhtar,Y,FW,90,0,0,0,0,1,0,0,0,26,14,0,0,0,0.0,0.0,0.0,1,0,16,22,72.7,1,14,0,0,0,Match Report"
",,,,,17-12-15,,,41/44,,3735,20,5,5,6,108,46,10,0,1467,942,22,5,31,18.9,14.4,3.5,108,13,671,1024,65.5,83,824,87,31,51,"
