Player,Prg. Pass Distance,Expected Assist,Key Pass,Pass into Final 3rd,Pass into Penalty Area,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Tackles Attacking 3rd,Interceptions,Dribblers Tackled,Carries,Prg. Carries,Carries into Final 3rd,Carries into Penalty Area,Pass Received,Prg. Passes Received
André Horta,339.6,0.11,2.14,8.93,2.14,8.21,0.71,1.07,0.36,0,1.79,0.71,66.8,5,6.07,0,68.9,2.5
Ricardo Horta,138,0.23,1.61,3.75,1.43,3.93,0,0,0.36,0.36,0.18,0.18,31.1,0.89,1.25,0,34.1,4.11
Tomi Horvat,170,0.19,2.92,4.79,0.83,5.83,0.42,0.42,0.63,0.42,0.21,0.63,33.5,2.71,2.29,0.83,33.3,5.63
Santeri Hostikka,106.7,0.17,1.52,1.74,1.74,4.13,0.22,0.43,0.22,0,1.09,0.43,29.3,2.61,1.52,0.43,34.1,5.22
Asier Illarramendi,190.7,0.07,0.74,4.81,0.74,6.67,0.37,0.37,1.11,0,1.11,0.74,54.4,2.59,4.44,0.37,57.4,4.07
Jo Inge Berget,74.8,0.1,0.65,1.94,0.32,3.55,2.26,1.29,1.61,0.97,0.65,1.94,19,0.32,0.32,0.32,28.1,4.84
Mirko Ivanić,168.2,0.12,0.91,3.64,0.61,6.67,0.61,0.3,0,0.3,0.61,0.3,30,1.82,0.91,0,33.9,8.18
Marko Janković,296.8,0,0.29,7.06,1.18,7.65,0.59,0.59,0,0.29,0.88,0.29,39.1,1.18,1.18,0,46.8,2.06
Joan Jordán,215.4,0,0,3.85,0,3.85,0.77,0,1.15,0,1.15,0,39.2,0.77,0.38,0,50.8,0.77
İrfan Kahveci,163.2,0.26,2.06,4.12,2.65,8.24,1.76,0.59,1.18,1.18,0.59,0.88,29.4,2.35,1.76,0.29,40,4.12
Guélor Kanga,406.4,0.22,2.55,7.45,2,10.5,0.91,0.73,0.91,0,0.91,1.27,49.8,1.45,1.27,0,55.3,1.82
Aleksandar Katai,104.5,0.09,0.91,2.73,1.82,5.45,0.68,0.68,0.45,0,0,0.91,23.6,0.91,2.05,0.45,28.6,5.91
Yannik Keitel,127.8,0,0,2.81,0.31,2.19,1.25,1.56,0.63,0.94,0.94,1.56,25.6,0.94,1.25,0,29.1,1.88
Rani Khedira,122.4,0.05,1,2.1,0.3,3.3,1,0.6,1.3,0.4,0.9,1,17.7,0.3,0.3,0,22.4,0.6
