,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
9,64580,74,BlockedShot,0.889000015258789,0.625999984741211,0.0664626806974411,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1987,Nantes,Marseille,0,1,2015-11-02 00:00:00,Georges-Kévin Nkoudou,Cross
0,64316,22,MissedShots,0.9640000152587891,0.6309999847412109,0.055418599396944046,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,1996,Marseille,Nice,0,1,2015-11-08 20:00:00,Benjamin Mendy,Cross
5,64326,53,SavedShot,0.865,0.18200000762939453,0.015687869861721992,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1996,Marseille,Nice,0,1,2015-11-08 20:00:00,,None
7,64328,57,MissedShots,0.735,0.5070000076293946,0.019397355616092682,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1996,Marseille,Nice,0,1,2015-11-08 20:00:00,Lucas Silva,TakeOn
8,64330,62,BlockedShot,0.9490000152587891,0.3160000038146973,0.05131157115101814,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,1996,Marseille,Nice,0,1,2015-11-08 20:00:00,Bouna Sarr,BallRecovery
4,64016,23,BlockedShot,0.815,0.5970000076293945,0.052760861814022064,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,2008,Saint-Etienne,Marseille,0,2,2015-11-23 00:00:00,Rémy Cabella,Pass
8,64026,40,Goal,0.8930000305175781,0.46,0.37501734495162964,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,2008,Saint-Etienne,Marseille,0,2,2015-11-23 00:00:00,Georges-Kévin Nkoudou,Rebound
10,64031,47,SavedShot,0.8519999694824218,0.6179999923706054,0.2661985754966736,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,2008,Saint-Etienne,Marseille,0,2,2015-11-23 00:00:00,Rémy Cabella,Pass
12,64042,60,MissedShots,0.919000015258789,0.519000015258789,0.5701952576637268,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,2008,Saint-Etienne,Marseille,0,2,2015-11-23 00:00:00,Georges-Kévin Nkoudou,Pass
13,64045,68,SavedShot,0.7580000305175781,0.515,0.07468497008085251,Michy Batshuayi,a,1678,DirectFreekick,2015,RightFoot,2008,Saint-Etienne,Marseille,0,2,2015-11-23 00:00:00,,Standard
14,64046,75,MissedShots,0.855,0.56,0.12146155536174774,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,2008,Saint-Etienne,Marseille,0,2,2015-11-23 00:00:00,Georges-Kévin Nkoudou,Pass
1,64594,13,SavedShot,0.7659999847412109,0.5970000076293945,0.03594145551323891,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2018,Marseille,Monaco,3,3,2015-11-30 00:00:00,Georges-Kévin Nkoudou,BallRecovery
3,64598,35,ShotOnPost,0.8680000305175781,0.654000015258789,0.059774331748485565,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2018,Marseille,Monaco,3,3,2015-11-30 00:00:00,Rémy Cabella,Pass
6,64608,50,BlockedShot,0.9019999694824219,0.5170000076293946,0.11531456559896469,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,2018,Marseille,Monaco,3,3,2015-11-30 00:00:00,Rémy Cabella,Pass
7,64612,50,Goal,0.9630000305175781,0.5320000076293945,0.6049837470054626,Michy Batshuayi,h,1678,FromCorner,2015,LeftFoot,2018,Marseille,Monaco,3,3,2015-11-30 00:00:00,Karim Rekik,None
7,65026,51,MissedShots,0.9019999694824219,0.4370000076293945,0.16204947233200073,Michy Batshuayi,a,1678,SetPiece,2015,Head,2028,Rennes,Marseille,0,1,2015-12-04 00:00:00,Rémy Cabella,Cross
10,65035,85,SavedShot,0.81,0.46599998474121096,0.13933824002742767,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,2028,Rennes,Marseille,0,1,2015-12-04 00:00:00,Mauricio Isla,TakeOn
0,65585,2,MissedShots,0.865,0.5570000076293945,0.35020554065704346,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2036,Marseille,Montpellier,2,2,2015-12-06 17:00:00,Abdel Barrada,Pass
3,65590,27,MissedShots,0.9490000152587891,0.3160000038146973,0.06704959273338318,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2036,Marseille,Montpellier,2,2,2015-12-06 17:00:00,Abdel Barrada,Pass
