,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
11,52865,49,BlockedShot,0.7130000305175781,0.580999984741211,0.014509506523609161,Philippe Coutinho,a,488,OpenPlay,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Lucas Leiva,HeadPass
12,52867,50,MissedShots,0.875,0.5670000076293945,0.0907791256904602,Christian Benteke,a,606,OpenPlay,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Alberto Moreno,Pass
13,52870,56,BlockedShot,0.7909999847412109,0.5629999923706055,0.04335003346204758,Philippe Coutinho,a,488,OpenPlay,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Emre Can,Pass
14,52871,57,MissedShots,0.8580000305175781,0.5609999847412109,0.08937979489564896,Christian Benteke,a,606,OpenPlay,2015,LeftFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Philippe Coutinho,Pass
15,52872,61,BlockedShot,0.7190000152587891,0.5109999847412109,0.04589433968067169,Dejan Lovren,a,602,DirectFreekick,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,,Standard
16,52873,66,MissedShots,0.7340000152587891,0.22200000762939454,0.007989495992660522,Jordon Ibe,a,481,OpenPlay,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Emre Can,Pass
17,52878,75,MissedShots,0.865,0.5479999923706055,0.04881204664707184,Christian Benteke,a,606,OpenPlay,2015,LeftFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Brad Smith,Cross
18,52879,77,BlockedShot,0.9519999694824218,0.48700000762939455,0.44761979579925537,Lucas Leiva,a,475,FromCorner,2015,Head,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Emre Can,HeadPass
19,52880,77,BlockedShot,0.835999984741211,0.59,0.052662890404462814,Brad Smith,a,477,FromCorner,2015,LeftFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,,Rebound
20,52881,78,BlockedShot,0.8190000152587891,0.5379999923706055,0.03974073380231857,Philippe Coutinho,a,488,FromCorner,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,,None
21,52882,80,BlockedShot,0.87,0.5179999923706055,0.026557575911283493,Christian Benteke,a,606,OpenPlay,2015,Head,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Brad Smith,Cross
22,52885,89,MissedShots,0.905,0.5209999847412109,0.08501559495925903,Joe Allen,a,480,OpenPlay,2015,Head,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Philippe Coutinho,Cross
0,53888,6,BlockedShot,0.7819999694824219,0.26399999618530273,0.020053617656230927,Nathaniel Clyne,h,603,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,TakeOn
1,53889,9,SavedShot,0.8290000152587891,0.7230000305175781,0.03182954713702202,Emre Can,h,604,FromCorner,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,James Milner,Pass
2,53890,9,Goal,0.879000015258789,0.43599998474121093,0.08126135170459747,Roberto Firmino,h,482,FromCorner,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,Rebound
3,53892,18,Goal,0.7669999694824219,0.545,0.02711436338722706,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,James Milner,Pass
4,53897,29,MissedShots,0.825999984741211,0.639000015258789,0.048820242285728455,Emre Can,h,604,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Roberto Firmino,Pass
5,53900,45,SavedShot,0.7430000305175781,0.5420000076293945,0.019192757084965706,Emre Can,h,604,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,James Milner,Pass
6,53901,46,ShotOnPost,0.86,0.44599998474121094,0.0728159174323082,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
7,53903,47,MissedShots,0.8919999694824219,0.6730000305175782,0.27505725622177124,Alberto Moreno,h,608,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Roberto Firmino,Pass
