,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
10,291744,61,MissedShots,0.9119999694824219,0.6020000076293945,0.11467353999614716,Roberto Firmino,a,482,OpenPlay,2018,LeftFoot,9520,Southampton,Liverpool,1,3,2019-04-05 20:00:00,Sadio Mané,Pass
11,291745,65,BlockedShot,0.9209999847412109,0.5029999923706054,0.31113046407699585,Roberto Firmino,a,482,OpenPlay,2018,RightFoot,9520,Southampton,Liverpool,1,3,2019-04-05 20:00:00,Naby Keita,TakeOn
8,294285,56,MissedShots,0.7759999847412109,0.34900001525878904,0.03494209423661232,Roberto Firmino,h,482,OpenPlay,2018,RightFoot,9531,Liverpool,Chelsea,2,0,2019-04-14 16:30:00,Trent Alexander-Arnold,Pass
13,294292,79,SavedShot,0.8590000152587891,0.3089999961853027,0.040888700634241104,Roberto Firmino,h,482,FromCorner,2018,LeftFoot,9531,Liverpool,Chelsea,2,0,2019-04-14 16:30:00,Mohamed Salah,Pass
1,296002,17,BlockedShot,0.8419999694824218,0.35900001525878905,0.048432547599077225,Roberto Firmino,a,482,OpenPlay,2018,LeftFoot,9544,Cardiff,Liverpool,0,2,2019-04-21 16:00:00,,None
2,296003,21,MissedShots,0.9,0.47,0.451316237449646,Roberto Firmino,a,482,OpenPlay,2018,LeftFoot,9544,Cardiff,Liverpool,0,2,2019-04-21 16:00:00,Sadio Mané,Throughball
5,296006,40,SavedShot,0.9619999694824218,0.39799999237060546,0.01587642729282379,Roberto Firmino,a,482,FromCorner,2018,Head,9544,Cardiff,Liverpool,0,2,2019-04-21 16:00:00,Trent Alexander-Arnold,Aerial
3,309902,30,SavedShot,0.8780000305175781,0.555,0.11204415559768677,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Trent Alexander-Arnold,Cross
5,309905,46,BlockedShot,0.8480000305175781,0.6940000152587891,0.04572838544845581,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Andrew Robertson,Pass
7,309907,47,ShotOnPost,0.9640000152587891,0.5420000076293945,0.6854050755500793,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Trent Alexander-Arnold,Pass
12,309914,70,BlockedShot,0.835999984741211,0.48200000762939454,0.09527646750211716,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Mohamed Salah,Pass
11,310457,64,MissedShots,0.875999984741211,0.5429999923706055,0.35860785841941833,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11658,Southampton,Liverpool,1,2,2019-08-17 15:00:00,Sadio Mané,Pass
12,310459,70,Goal,0.835,0.505,0.08791559189558029,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11658,Southampton,Liverpool,1,2,2019-08-17 15:00:00,Sadio Mané,TakeOn
4,312705,22,BlockedShot,0.8569999694824219,0.5879999923706055,0.09224480390548706,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Sadio Mané,Pass
10,312713,39,BlockedShot,0.7769999694824219,0.44,0.0346701517701149,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Trent Alexander-Arnold,BallRecovery
14,312717,46,BlockedShot,0.7869999694824219,0.580999984741211,0.04536319896578789,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Fabinho,Pass
19,312723,55,BlockedShot,0.7769999694824219,0.6229999923706054,0.025043131783604622,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Andrew Robertson,Pass
23,312727,61,SavedShot,0.850999984741211,0.6430000305175781,0.08877450972795486,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Sadio Mané,Pass
